img_id,class,aopc,max_sensitivity
ID_1fe44ac4e,any,0.2575347810983658,23.217403411865234
ID_6deffadd7,any,0.3222534589469433,23.694751739501953
ID_4ba1e687e,any,0.2599670812487602,21.318336486816406
ID_399a57a4f,any,0.2270825058221817,46.61994171142578
ID_5e791554c,any,0.3734547093510628,23.936290740966797
ID_efaa65f3b,any,0.3563794940710068,24.741374969482422
ID_3dc18dab7,any,0.33552527129650117,26.319061279296875
ID_bcd29e932,any,0.45869950354099276,18.045236587524414
ID_88c4b52c8,any,0.34934747219085693,13.311602592468262
ID_e48370d5b,any,0.23717454373836516,31.896696090698242
ID_12f219558,any,0.37039898727089166,21.997499465942383
ID_498440dd8,any,0.3894871950149536,26.499664306640625
ID_74117e45c,any,0.27558061182498933,37.024173736572266
ID_463697301,any,0.42728396132588387,16.229127883911133
ID_ad774ca41,any,0.6320178961381316,23.678466796875
ID_59f4c924b,any,0.5258615493774415,15.522073745727539
ID_d8d7d47c3,any,0.08788793832063675,29.150981903076172
ID_d105036ea,any,0.32834179848432543,16.346487045288086
ID_98133ca07,any,0.7500188294798136,36.46543884277344
ID_d45441ae9,any,0.5721577942371369,17.758127212524414
ID_0902966fd,any,0.14300703704357148,24.636550903320312
ID_ac612b6a6,any,0.19481769502162932,27.052263259887695
ID_eb4678a3c,any,0.28230922296643257,26.203611373901367
ID_9046ba5a3,any,0.6737487494945527,40.81879806518555
ID_155937ca2,any,0.1173275202512741,38.197898864746094
ID_a6ac60224,any,0.2908391892910004,28.23552131652832
ID_8c95ef995,any,0.22850738763809203,20.824291229248047
ID_b81f87355,any,0.7893783850595355,18.323389053344727
ID_9723426a4,any,0.20970066785812377,21.702760696411133
ID_56dfa1d03,any,0.5752185001969338,17.27684783935547
ID_823fa6774,any,0.15056686699390412,24.87004852294922
ID_73d27193e,any,0.5194207906723023,10.436787605285645
ID_4aca4ff88,any,0.5026816368103028,27.69553565979004
ID_46ad902f8,any,0.12435464560985565,43.52915954589844
ID_b89bbf4a3,any,0.08033146113157272,23.068675994873047
ID_ff2bfca49,any,0.36444928869605064,24.196632385253906
ID_12eb335cc,any,0.18582823574543,23.34115982055664
ID_d35a38a38,any,0.32095435857772825,11.010869979858398
ID_5c083059d,any,0.6641296230256557,30.005779266357422
ID_179c4420f,any,0.8449446253944188,21.118467330932617
ID_16edddd20,any,0.39045301601290705,16.081684112548828
ID_817614928,any,0.3368137627840042,16.231138229370117
ID_8004cb846,any,0.35731844455003736,29.86812973022461
ID_6353a1570,any,0.4893989272415638,23.393911361694336
ID_bdc95666c,any,0.0851709008216858,31.0593204498291
ID_96e0114ea,any,0.7561476856470108,15.183910369873047
ID_327baef23,any,0.42006013691425326,25.20937728881836
ID_fcb9358df,any,0.569275127351284,17.720138549804688
ID_696624178,any,0.4896318674087524,22.23296356201172
ID_173910d41,any,0.6042394876480103,16.424850463867188
ID_e164108fa,epidural,0.8510543222124397,19.058063507080078
ID_3142b4b3d,epidural,0.2668275277595967,33.81249237060547
ID_51c26dfc8,epidural,0.6491739545832388,29.10738754272461
ID_e8ef6fde2,epidural,0.413582259589748,35.10097885131836
ID_429715e74,epidural,0.4505660344468197,33.762027740478516
ID_5ae4d8620,epidural,0.5826318017265294,30.242156982421875
ID_08bd8c712,epidural,0.27559278347325744,42.883934020996094
ID_f76433783,epidural,0.2746304572268855,39.17610549926758
ID_7d9112223,epidural,0.34428115518530833,20.72541618347168
ID_f82781ce6,epidural,0.7669523253920488,32.87693405151367
ID_29e21854b,epidural,0.2796414863638347,13.779989242553711
ID_a8b23e5ff,epidural,0.7018196581397206,33.55158996582031
ID_add4ba572,epidural,0.5470505868142936,26.574060440063477
ID_8e0eb1d69,epidural,0.2506739428215951,25.90721893310547
ID_b3a2dee6a,epidural,0.9077836370823207,19.083419799804688
ID_7788152ac,epidural,0.5504310323023673,28.542736053466797
ID_b3a9c1c11,epidural,0.42846417240507434,26.599140167236328
ID_e2869d53e,epidural,0.7494251846226689,19.04776382446289
ID_f4bc3d574,epidural,0.8467844733284438,25.620494842529297
ID_1a16606aa,epidural,0.8027504484169186,31.886802673339844
ID_ecf7422d5,epidural,0.33668532593292183,29.805849075317383
ID_8e91c84d9,epidural,0.5906950134463841,36.57750701904297
ID_488e400cc,epidural,0.4625839504995383,39.98725509643555
ID_ed431f5a0,epidural,0.44212013218348145,46.861572265625
ID_cc6df0803,epidural,0.4454837267032417,23.260751724243164
ID_9b9628ff9,epidural,0.7203013773512794,24.325546264648438
ID_391850ae1,epidural,0.5839117604846251,19.888959884643555
ID_639d7a78f,epidural,0.7872839077463141,23.932785034179688
ID_6cdfc23df,epidural,0.38110113598231693,28.252559661865234
ID_9f9f57bc7,epidural,0.21898033192410365,39.6956787109375
ID_c971c9888,epidural,0.8326459897274617,19.912607192993164
ID_98e91961e,epidural,0.40395032352753335,27.538654327392578
ID_cf3f10df3,epidural,0.5449151493667159,29.626447677612305
ID_3de1f0e18,epidural,0.8807582227345847,41.513916015625
ID_2bb5b7cb8,epidural,0.3210803826863412,16.952341079711914
ID_86285561a,epidural,0.4900863784914691,26.694469451904297
ID_2edb42f2f,epidural,0.3956689058672055,36.991573333740234
ID_f0817af3e,epidural,0.2394407158764807,36.91598892211914
ID_3cf0dc989,epidural,0.27610640568018424,25.20842170715332
ID_edeeebfea,epidural,0.37579310567161883,26.059720993041992
ID_0939804b9,epidural,0.34007713488535957,37.22032165527344
ID_4822dbb01,epidural,0.45718744198966305,28.77313232421875
ID_f2e0e5ba2,epidural,0.4672402661846718,34.89768981933594
ID_6bba93cd0,epidural,0.27984622521398705,32.12489700317383
