class,img_id,aopc,max_sensitivity
any,ID_e393e4fdc,0.5748400121927262,18.266822814941406
any,ID_34d225edb,0.7092562168836594,7.871888637542725
any,ID_58e9f9929,0.38911148980259896,17.678089141845703
any,ID_1f6af9c11,0.3894727736711502,14.136701583862305
any,ID_5a43fe943,0.4949676141142845,11.565433502197266
any,ID_0cad47bfc,0.5427222497761249,15.070518493652344
any,ID_2391fa4ac,0.5841521486639977,10.617331504821777
any,ID_b03b72caf,0.46607649624347686,4.638756275177002
any,ID_673526165,0.30479405298829076,39.66116714477539
any,ID_5058dcbfa,0.47990531027317046,12.57517147064209
any,ID_0a3b5797d,0.2596994169056416,23.488317489624023
any,ID_ecc970779,0.4587729051709175,26.325342178344727
any,ID_067ba80b7,0.4512385234236717,3.5594239234924316
any,ID_3bb749999,0.23243927508592604,34.90626907348633
any,ID_9b84e5e86,0.7314392399042845,7.801210403442383
any,ID_b92cb0ae5,0.6086132422089576,15.619900703430176
any,ID_386560c81,0.9247909421101213,6.0304951667785645
any,ID_a68fc6ce0,0.4399438351392746,9.988507270812988
any,ID_28c09fff1,0.31779435500502584,64.49368286132812
any,ID_71968fae3,0.5589868724346161,20.2136173248291
any,ID_5f4238054,0.41283685266971587,8.914314270019531
any,ID_4a9c941b6,0.3407363690435886,47.774879455566406
any,ID_e0ee21724,0.3945585645735264,8.856620788574219
any,ID_11e8c5247,0.7393550619482994,8.992695808410645
any,ID_4c82b01b6,0.26196298077702523,37.55074691772461
any,ID_b113c3e62,0.3173204831779003,19.373159408569336
any,ID_6892ad0d9,0.21048963516950608,25.89695930480957
any,ID_2ea029704,0.2634004779160023,3.0179712772369385
any,ID_096a726a9,0.6439911827445031,7.916817665100098
any,ID_cfff53a3d,0.8776147734373808,6.529513359069824
any,ID_4a6e3ce3c,0.5441879410296678,21.315692901611328
any,ID_b9a89032a,0.3038958624005318,36.89680099487305
any,ID_34507c6eb,0.20452914163470268,42.23177719116211
